Reference, Count, Speakers
Moses 7:33,1,['Elder Dale G. Renlund']
Mosiah 2:41,4,['Elder Quentin L. Cook', 'Elder Gerrit W. Gong', 'Elder Dale G. Renlund', 'Elder Dale G. Renlund']
latterdaysaintcharities.org,1,['Elder Gerrit W. Gong']
Psalm 139:1–3,1,['Elder Ulisses Soares']
3 Nephi 27:20,1,['Elder Ronald A. Rasband']
Doctrine and Covenants 45:26,1,['President Russell M. Nelson']
Teachings of Presidents of the Church: David O. McKay,2,['Elder William K. Jackson', 'Elder William K. Jackson']
Acts 16:24–33,1,['Elder Gary E. Stevenson']
2 Timothy 1:5,1,['President Russell M. Nelson']
Moses 7:17,1,['Elder D. Todd Christofferson']
Isaiah 40:31,1,['Elder Jeffrey R. Holland']
1 Nephi 22:3  9,1,['Elder Gerrit W. Gong']
Omniscient,1,['Elder Ulisses Soares']
Luke 2:2–14,1,['Elder Neil L. Andersen']
2 Nephi 26:24–25,1,['Elder D. Todd Christofferson']
History  1838–1856  volume D-1 [1 August 1842–1 July 1843],1,['Elder Dale G. Renlund']
Seven Ways Religious Inputs and Values Contribute to Practical  Principle-Based Policy Approaches,1,['Elder Gerrit W. Gong']
Acts 5:19,1,['Elder Neil L. Andersen']
Luke 2:40,1,['Elder Kelly R. Johnson']
